Date,Close,High,Low,Open,Volume
2024-08-21,4474.53759765625,4482.893869122817,4416.584205298795,4441.60405717037,1896990.0
2024-08-22,4425.8740234375,4483.827408179873,4421.1553804157365,4482.893280069969,1829872.0
2024-08-23,4388.41845703125,4429.806671292171,4379.669045851447,4423.908127122674,1809253.0
2024-08-26,4426.31689453125,4475.1762140890105,4409.161769882674,4413.094132665178,1844164.0
2024-08-27,4421.10693359375,4433.739747059852,4410.931847260165,4428.824292794819,930697.0
2024-08-28,4429.85546875,4485.351128420017,4381.929799158663,4422.679098954422,1848058.0
2024-08-29,4435.5087890625,4478.961593547129,4384.584878669929,4384.584878669929,2133641.0
2024-08-30,4476.74951171875,4514.598505669049,4411.914484617352,4423.908383801126,3637222.0
2024-09-02,4444.60205078125,4510.42016565307,4435.705271888983,4498.623077164004,1216500.0
2024-09-03,4436.04931640625,4478.862723418696,4419.877282744973,4444.601917289093,1717263.0
2024-09-04,4403.50927734375,4411.12823071751,4361.678957604827,4401.248360610483,1265505.0
2024-09-05,4400.26513671875,4422.925185992935,4378.833470829995,4405.229552886051,1688793.0
2024-09-06,4381.3896484375,4442.5380843769135,4364.922878569025,4398.299001148173,1649179.0
2024-09-09,4374.31103515625,4414.323018683421,4355.583349318389,4379.669071484804,1184938.0
2024-09-10,4431.62548828125,4463.182795615785,4365.365271401029,4367.33145279228,1385591.0
2024-09-11,4403.607421875,4472.423770856639,4395.644291202173,4444.995636338908,1325919.0
2024-09-12,4441.3095703125,4455.957527462176,4356.370139812065,4433.985351725256,2742216.0
2024-09-13,4446.1259765625,4470.113292994115,4428.823484701669,4453.400751542411,1458786.0
2024-09-16,4436.93408203125,4469.179264837861,4418.452168963395,4450.4515790960995,1155120.0
2024-09-17,4429.462890625,4459.102981728869,4390.483437082196,4436.9344765811065,1699364.0
2024-09-18,4272.65966796875,4421.007962696659,4247.935032184893,4421.007962696659,2961779.0
2024-09-19,4223.5048828125,4347.4237496898,4209.397435703417,4315.817000652729,2927551.0
2024-09-20,4212.44482421875,4257.470661802116,4156.015519672725,4243.903723480614,5447908.0
2024-09-23,4196.322265625,4236.530575538779,4181.084361181474,4227.28961981668,1702319.0
2024-09-24,4199.0751953125,4218.442274483283,4168.304647823145,4179.757558692518,3012026.0
2024-09-25,4202.46728515625,4217.066279151633,4168.3048807678815,4180.4461478288495,2713073.0
2024-09-26,4219.9169921875,4243.805905107155,4187.96654320763,4187.96654320763,3964251.0
2024-09-27,4235.84326171875,4303.971257963029,4227.339142801401,4261.698356160286,3012477.0
2024-09-30,4196.322265625,4226.060756555105,4188.0149579668705,4214.4110368304355,2503416.0
2024-10-01,4215.39501953125,4223.112378452082,4171.20537530813,4183.591935586364,1823365.0
2024-10-02,,,,,
2024-10-03,4161.1767578125,4206.644698288273,4138.8114465514445,4190.522108373157,3350119.0
2024-10-04,4180.34765625,4225.324058219178,4152.624304993512,4153.558433219178,2965463.0
2024-10-07,4200.599609375,4224.586928824883,4157.884122221105,4201.631662702275,1472619.0
2024-10-08,4181.3310546875,4207.038783776306,4132.864868987183,4200.353958171027,1541867.0
2024-10-09,4181.0361328125,4222.3749081806955,4174.891815425741,4187.9667308148455,1082504.0
2024-10-10,4155.91748046875,4221.244048728042,4127.6046606504715,4181.330470770868,2378875.0
2024-10-11,4079.0400390625,4170.221699578775,4042.911456593787,4072.944684840193,5759183.0
2024-10-14,4066.701904296875,4094.965760922086,4052.4965321992213,4069.9953540303254,2137590.0
2024-10-15,4047.1875,4099.439153411149,4025.7563152887024,4061.196542122799,2759474.0
2024-10-16,4025.70751953125,4045.418537564878,3998.426750535521,4015.925814326252,2359151.0
2024-10-17,4039.519775390625,4060.1157180197656,4023.741121305155,4043.255328123109,2522659.0
2024-10-18,4063.220458984375,4085.985352412221,4020.7953476110742,4030.6502381689447,2361000.0
2024-10-21,4020.647705078125,4079.875694816127,4010.940541435238,4072.63225386454,1595450.0
2024-10-22,3957.231201171875,4030.453084242788,3948.214072783788,4006.998397202053,1928049.0
2024-10-23,4007.2451171875,4053.858559887262,3937.176744813799,3941.562363857524,1966476.0
2024-10-24,3989.161376953125,4019.8101853186554,3945.898500126476,3945.898500126476,2676744.0
2024-10-25,3998.67138671875,4032.62143844137,3974.1818860941275,3998.1786421637107,1759676.0
